,sandwiches,pizza,asian,salads,burgers,italian,coffee,fastfood,mexican,chinese,seafood,tea,dessert,japanese,bakery,pasta,sushi,smoothies,juice,chicken,latinamerican,donut,wings,mediterranean,wraps,indian,icecream,soup,thai,bagels,desserts,caribbean,noodles,greek,middleeastern,asianfusion,subs,spanish,southern,french,friedchicken,korean,frozenyogurt,steak,grill,bbq,tacos,fish,vietnamese,calzones,Zip,City,postalCode
0,0.0921425728783205,0.23697239888158775,-0.12172780105321357,-0.7416174324451559,0.7296344441818324,-0.3526684357953708,-0.565156894494209,2.0,-0.05696538478059442,0.12456140350877183,-0.06589584308386173,-0.5505691006980695,-0.4697169150503611,-0.43079465906144676,-0.2687949108652029,-0.18913204062788555,-0.39216894155430665,-1.0,-1.0,0.28448592897202507,0.27537179040316007,-0.7200855518155855,0.6649666312755951,-0.09373581011351909,-0.3580628654970761,-0.35537693606400944,2.0,-0.2663575605680869,-0.6345708911748061,-0.3387772005120097,2.0,-0.1571941341318285,-0.04188487387623286,0.38547582986242585,-0.28805493400784776,0.46449536388499757,-0.2621412247092828,0.6530569987199757,0.6320435622955693,-1.0,0.005645641518940992,-1.0,2.0,-1.0,-0.36824120169203767,-1.0,-1.0,0.05235595820151476,-1.0,2.0,11703,North Babylon,11703
1,0.5057203725850767,0.6187929607812617,0.3002990997393981,0.0018915884779672518,0.05895986378479542,-0.2469816498027783,0.011675796482860622,1.4186014486766365,-1.0,1.6163265306122445,-1.0,-0.6514617515617683,0.23371983029099658,-0.5585754498843872,0.27587826777602353,-0.5283727175080559,-1.0,-1.0,-1.0,-1.0,-0.40656169752669286,0.9536885975320359,-1.0,1.811268507402961,-1.0,0.4997352916061821,-0.19125285493258679,0.7068415937803691,-1.0,-0.23082245773846027,-1.0,-1.0,-1.0,-1.0,-1.0,0.703596647784589,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.4496769730308745,1.2514870269715923,-1.0,1.4483383517341364,-1.0,2.0,11716,Bohemia,11716
2,0.0016936981427579981,-0.25061422600103445,0.08619439769728064,0.2704207572936886,-0.12066791584515493,0.06396899610121316,0.47158623157896923,-0.5246397559375475,-0.2823474205721919,-0.22274306839186694,-0.1864142722016925,0.40667717776335094,-0.019652624319351532,0.3337712136801946,0.007684410823178122,-0.02264181340597336,0.37646208192788894,0.19161751517872436,0.24906851600726748,-0.32564997503432225,-0.4453052111003661,-0.1600703907492585,-0.41058334709445105,0.47682534159689766,0.14167510782501538,0.2822875350930789,-0.29679360990811243,0.3480578118123405,0.2874992897403431,-0.1305592409542018,-0.14911081629002443,-0.8863380481076861,0.2194450115411852,0.23786247157542004,0.17617009645313494,-0.07420071266419742,-0.29100091359126345,-0.540199598581549,-0.6560943325292146,0.668668802001759,-0.6948488197564707,1.5803108241111938,-0.16280156136624832,0.6367242359230112,-0.041501623565294764,0.37036903556600004,-0.28629893009172763,-0.20168782764158652,0.1895460766745214,-0.17414372344910328,10166,New York,10166
3,1.4269834952851566,-0.0722707008388092,0.9162302522475341,-1.0,0.09240070158852572,0.2946631284092583,-1.0,-1.0,-1.0,0.6868421052631577,-1.0,-1.0,-1.0,1.276821363754213,-1.0,-1.0,1.4313242337827734,-1.0,-1.0,1.2019758782377572,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,11560,Locust Valley,11560
4,0.2989489129695206,0.7378591096963152,0.02558802232966618,0.3828926150822647,-0.7076674178847606,0.03937744111729192,0.3963975782439486,-0.16541217616087886,-0.5673804984506549,1.2570422535211268,0.49982920969633476,-0.03783807473389536,-0.4323730358285555,-0.39070977589675987,0.1740476079065757,-0.34902149740548555,-0.34936393743841265,-1.0,-1.0,-0.4107388494856706,-1.0,-1.0,-0.10889109875390679,0.9401712234189452,-1.0,-1.0,-1.0,0.17796109993293097,-1.0,2.0,0.24683382553384825,2.0,2.0,1.2245668254129092,1.2862461274114187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,11763,Medford,11763
5,-0.13707253500972208,0.44313446536185236,0.17102959859571523,-0.13872477481718612,0.15308962945455493,0.5823660458335379,0.01463391284684562,1.165779806015263,-0.3713102565203963,0.12456140350877183,0.2454722092215177,-0.5006323341089662,-0.05727451564508646,0.011920606112983572,-0.5125299405768019,0.08115727916281927,0.21566211689138676,-0.5334194055702551,-0.5615682632877014,-0.6330040202937072,-0.8299504279462453,0.8660963212294299,-0.26001483054417995,-0.19443183121201696,0.4978533138401558,-0.14050258141867927,0.622223805603057,0.22273739905318848,-0.02552237646614962,0.7632607986346408,-0.482308762497642,-1.0,-0.6806282912920776,0.38547582986242585,-0.5253699560052318,-0.5118348787050008,0.4757175505814344,-1.0,0.0880290415303796,-1.0,-0.329569572320706,-1.0,-1.0,1.1338630509792484,-0.15765493558938357,-1.0,-1.0,1.1047119164030295,-1.0,2.0,11783,Seaford,11783
6,0.8445074564167193,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7030,Hoboken,7030
9,1.305634320520899,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11937,East Hampton,11937
10,-0.20737369822737217,0.13619846128246121,-0.005859058927980314,-0.2440517182012258,-0.07092151610644634,-0.1411411117714768,-0.334304646002773,0.6445190691762807,-0.3675312031959888,0.49203222918531775,0.0168940508594666,-0.41899890904925025,-0.20623695789096128,-0.3803458419146994,0.11939185534512356,0.11721198699524102,-0.5450789929627576,-0.09524300131170346,-0.14982708888197058,0.573121531632704,1.1867431092033414,0.5997975265974058,0.3027581340509134,-0.32172169852721744,0.04824828409430016,1.6315856504459418,-0.29044565607335276,-0.2512512256469285,-0.3286834992754718,0.012256926700504402,-0.12822093308689753,0.5482879469664173,-0.31550951598319943,-0.010197213759878332,0.1625674130435862,-0.2526747024042537,0.20488308516586234,1.6993518045346787,1.1653433834575058,-1.0,1.2579760688715347,-0.7957957888127987,-0.32419523231742814,-0.5644397711519529,-0.09732583518396784,-0.4073973268311117,-0.5784524326698525,0.7184398099906563,-1.0,0.3792740580188161,11417,Ozone Park,11417
11,0.3175053260119422,0.46890472367188546,-0.566566966753534,0.1688735198909617,0.4825438092987135,1.342723756169134,0.4753605365375051,-1.0,0.0969994503572677,-0.618452380952381,-1.0,0.21988386953381114,0.4393398020061626,1.0599812338728594,-0.0076502361742039554,0.10046365914786962,0.6498271586383105,-1.0,-1.0,-1.0,-1.0,-0.24023221207087495,-1.0,-1.0,0.7424007936507935,0.7496911735405458,-1.0,0.9913151927437641,-1.0,-1.0,2.0,1.2876159216421799,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.714773881121612,-1.0,1.8027894804034212,-1.0,-1.0,-1.0,10706,Hastings On Hudson,10706
